,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,306,i have,256,then i have,36
1,have,264,got it,69,got it i,34
2,it,105,upside down,47,it i have,34
3,then,98,it i,39,an upside down,32
4,with,91,then i,36,i have an,22
5,got,71,an upside,32,i have guy,19
6,down,69,have an,23,have an upside,19
7,guy,66,have guy,20,i have boat,14
8,an,55,looks like,17,it got it,13
9,like,48,out of,15,got it got,13
10,triangle,48,have boat,14,i have dog,13
11,upside,47,i got,13,i got it,11
12,um,47,kind of,13,coming out of,11
13,one,39,have dog,13,out of it,11
14,boat,37,it got,13,i have triangle,11
15,dog,37,christmas tree,13,i dont know,10
16,of,37,coming out,13,i have sideways,8
17,its,35,guy walking,12,okay i have,8
18,thing,34,i dont,12,of looks like,7
19,sailboat,34,okay i,12,i have crab,7
