,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,105,i have,70,loch ness monster,11
1,have,71,got it,34,got it got,10
2,got,68,i got,22,it got it,10
3,then,53,upside down,13,okay i have,6
4,it,47,ive got,12,okay ive got,5
5,with,46,ness monster,11,i have guy,5
6,like,29,loch ness,11,got it i,5
7,okay,20,it got,10,then i have,5
8,down,19,looks like,9,got it okay,4
9,bird,18,with two,8,i have flying,4
10,boat,18,flying bird,8,have flying bird,4
11,sailboat,17,then i,8,i have arrow,4
12,this,15,okay i,8,i have an,4
13,upside,13,have guy,6,of looks like,3
14,ive,12,boat with,5,i dont know,3
15,an,12,christmas tree,5,bird i have,3
16,two,12,it i,5,kind of looks,3
17,is,12,okay ive,5,have guy running,3
18,one,12,it okay,5,it i have,3
19,flamingo,12,then theres,4,an upside down,3
