,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,133,got it,116,got it got,76
1,got,127,it got,76,it got it,74
2,i,30,it okay,14,got it okay,12
3,then,28,okay got,8,okay got it,8
4,to,22,upside down,8,it okay got,7
5,okay,21,i got,8,i got it,6
6,this,18,i have,7,got it i,4
7,that,16,flying bird,6,it i have,4
8,was,16,okay i,6,it okay i,4
9,like,15,looking at,5,he wanted to,3
10,which,15,sea monster,5,got it have,3
11,one,13,wanted to,5,decided to go,2
12,he,13,then he,5,is looking at,2
13,at,11,it i,4,going to left,2
14,down,11,guy running,4,eaten by sea,2
15,guy,11,okay so,4,got eaten by,2
16,have,11,there was,4,flying away from,2
17,with,11,at it,3,you got it,2
18,flying,10,to right,3,thank you got,2
19,on,10,he wanted,3,which is looking,2
