,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,75,i have,45,then i have,20
1,i,72,one is,35,first one is,18
2,one,50,got it,23,my first one,10
3,have,45,then i,21,it got it,7
4,is,45,first one,19,i got it,7
5,it,35,upside down,18,got it my,7
6,my,35,i got,12,my next one,6
7,with,34,my first,10,i dont know,6
8,like,33,okay i,8,got it got,6
9,got,32,it got,8,next one is,6
10,down,27,my next,8,it my first,5
11,first,21,it my,7,my second one,4
12,upside,18,i dont,6,last one is,4
13,person,18,dont know,6,okay i got,4
14,triangle,17,person with,6,out of it,4
15,on,12,second one,6,okay i have,4
16,sideways,11,next one,6,it okay i,3
17,or,11,with two,5,one is giant,3
18,okay,11,last one,5,my top one,3
19,its,11,laying down,5,my last one,3
