,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,363,i have,194,then i have,64
1,then,213,i got,96,i have this,19
2,have,210,then i,78,an upside down,19
3,got,162,upside down,68,okay i have,18
4,like,134,okay i,32,then i got,12
5,down,119,ive got,27,it looks like,12
6,with,106,flying bird,25,okay i got,12
7,it,83,looks like,23,i dont know,11
8,this,81,to left,20,loch ness monster,9
9,to,77,got it,20,i have bird,9
10,bird,70,an upside,19,ive got this,9
11,upside,68,have this,19,i have like,8
12,one,61,bird with,18,have bird with,8
13,okay,60,got this,17,i have triangle,8
14,is,58,to right,16,i have sideways,8
15,triangle,57,with like,16,on one foot,7
16,flying,56,going to,15,right side up,7
17,right,49,bird flying,15,i have an,7
18,dog,47,it looks,14,i got this,7
19,that,46,i dont,14,upside down sailboat,7
