,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,238,got it,175,got it got,59
1,i,234,i have,120,it got it,58
2,it,212,it got,60,got it i,37
3,have,129,i got,57,i got it,24
4,then,122,upside down,40,it i have,22
5,like,77,it i,39,then i have,18
6,one,72,one is,37,loch ness monster,16
7,is,71,flying bird,24,got it okay,15
8,with,62,looks like,22,first one is,11
9,down,61,loch ness,22,i dont know,11
10,bird,50,then i,22,okay i have,11
11,okay,48,ive got,18,it i got,10
12,triangle,45,okay i,17,my first one,10
13,its,44,ness monster,16,i think i,9
14,upside,40,it okay,16,think i got,8
15,of,39,first one,15,my next one,8
16,my,36,i think,14,next one is,8
17,guy,34,i dont,13,i have guy,7
18,an,34,last one,12,last one is,7
19,flying,34,okay so,12,an upside down,7
