,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,181,i have,85,then i got,19
1,got,99,i got,72,then i have,12
2,have,89,got it,31,loch ness monster,9
3,then,46,then i,31,i got it,8
4,it,43,upside down,22,got it i,6
5,like,30,okay i,10,got it got,6
6,down,27,loch ness,9,it okay i,6
7,with,24,it i,9,it got it,6
8,that,22,ness monster,9,got it okay,5
9,upside,22,flying bird,7,it i got,4
10,one,21,looks like,7,dude i have,4
11,on,20,it got,6,i got bunny,4
12,triangle,17,i think,6,an upside down,4
13,you,15,yeah i,6,okay i got,4
14,to,15,it okay,6,yeah i got,4
15,looking,15,rubber ducky,5,okay i have,4
16,flamingo,12,all right,5,with an arrow,3
17,is,12,what i,4,i got guy,3
18,okay,12,bunny i,4,monster i have,3
19,sailboat,11,have that,4,ness monster i,3
