,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,22,got it,20,it got it,10
1,got,21,i have,15,got it got,10
2,i,19,it got,10,then i have,3
3,have,15,then i,4,on right side,2
4,like,10,right side,4,i have person,2
5,then,7,okay i,3,right side up,2
6,right,5,upside down,3,i have this,2
7,down,5,to left,2,i have like,2
8,okay,4,with like,2,okay i have,2
9,walking,4,downward i,2,done got it,2
10,with,4,side up,2,dont know what,2
11,side,4,have like,2,i dont know,2
12,this,4,done got,2,got it okay,2
13,upside,3,know what,2,it i have,2
14,uh,3,dont know,2,got it i,2
15,its,3,have this,2,have an animal,1
16,downward,3,i dont,2,giant tail its,1
17,done,3,it okay,2,weird animal with,1
18,of,3,have person,2,straight downward then,1
19,an,3,on right,2,animal with like,1
