,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,237,ive got,106,right ive got,24
1,got,198,upside down,54,all right ive,20
2,like,115,one is,34,last one is,15
3,with,111,all right,32,then upside down,14
4,ive,106,i got,27,then last one,12
5,down,80,right ive,24,got upside down,11
6,one,80,got it,23,with triangle wings,9
7,right,79,kind of,23,bird with triangle,9
8,triangle,68,last one,20,ive got upside,9
9,on,60,flying bird,19,ive got like,9
10,first,58,got like,16,then second one,8
11,is,56,with triangle,16,flying bird with,8
12,upside,54,then last,16,upside down flamingo,8
13,in,52,second one,14,lady in dress,8
14,i,51,then upside,14,got it got,8
15,looking,45,on right,14,then ive got,8
16,weird,42,road runner,13,guy holding triangle,7
17,guy,40,bird with,13,right side up,7
18,square,40,you said,12,it got it,7
19,last,39,first one,12,um ive got,7
