,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,95,one is,38,second one is,12
1,got,68,i got,35,first one is,10
2,one,66,got it,31,so i got,9
3,is,47,second one,16,third one is,9
4,it,42,upside down,15,got it i,8
5,i,40,third one,14,it i got,8
6,with,35,first one,13,loch ness monster,8
7,second,24,all right,10,right i got,7
8,triangle,24,so i,9,all right i,7
9,down,19,with two,9,it got it,7
10,right,19,it i,8,got it got,6
11,third,18,ness monster,8,with its wings,5
12,first,18,loch ness,8,its wings spread,5
13,like,17,looking thing,8,then last one,5
14,upside,15,last one,8,got it alright,4
15,on,15,it got,7,last one is,4
16,sailboat,14,right i,7,ness monster then,4
17,looking,13,rocket ship,6,bird with its,4
18,ones,12,then weird,6,then second one,4
19,so,12,wings spread,6,then upside down,3
