,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,155,i have,133,then i have,16
1,have,139,loch ness,26,okay i have,13
2,then,75,flying bird,25,loch ness monster,12
3,like,69,upside down,21,going to right,6
4,with,56,then i,18,right i have,6
5,down,42,looks like,17,you repeat those,6
6,triangle,39,got it,15,i have an,6
7,it,39,okay i,14,ok i have,6
8,bird,32,to right,13,got it got,5
9,flying,30,ness monster,12,it got it,5
10,on,28,rocket ship,10,repeat those please,5
11,to,28,triangle body,9,it looks like,5
12,going,28,going to,9,i have guy,5
13,okay,27,one is,8,i have like,5
14,sailboat,27,palm tree,8,i dont know,5
15,loch,26,kind of,8,it i have,5
16,ness,26,to left,7,big flying bird,4
17,right,26,ok i,7,yeah i have,4
18,person,26,have like,7,i have person,4
19,is,25,you repeat,7,of looks like,4
