,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,177,got it,159,got it got,100
1,it,161,it got,100,it got it,97
2,i,64,i got,27,got it i,17
3,then,51,i have,23,i got it,17
4,have,24,it i,17,it i got,7
5,down,22,upside down,15,first one is,7
6,with,19,then i,10,got it ok,5
7,is,18,first one,9,then i have,5
8,one,15,one is,9,it i have,5
9,upside,15,all right,7,it all right,4
10,on,12,cake cake,5,got it all,4
11,right,12,it ok,5,all right i,4
12,boat,11,no no,5,it ok i,4
13,its,10,ok i,4,cake cake cake,4
14,no,10,loch ness,4,right i got,4
15,bird,10,christmas tree,4,loch ness monster,4
16,first,9,i had,4,no no no,4
17,all,9,right i,4,on its hind,3
18,you,9,it all,4,then i had,3
19,cake,7,ness monster,4,my first one,3
