,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,225,i have,97,okay i have,54
1,have,109,okay i,56,ok i have,27
2,i,106,got it,33,ok my first,15
3,with,104,upside down,31,it got it,13
4,okay,82,my first,29,my first one,13
5,it,56,ok i,28,got it got,12
6,like,56,one is,23,my first ones,12
7,down,53,with square,19,okay my first,10
8,ok,52,with two,16,first one is,10
9,guy,43,first one,15,then upside down,9
10,one,43,dog with,15,got it okay,9
11,first,39,ok my,15,dog with square,9
12,dog,38,down then,14,i have guy,9
13,my,36,then dog,14,with house on,8
14,is,36,flying bird,14,it okay i,8
15,got,34,it got,13,house on it,8
16,square,34,boat with,13,i have boat,7
17,sailboat,32,then guy,12,boat with house,7
18,upside,31,arrow pointing,12,loch ness monster,7
19,bird,29,first ones,12,got it ok,7
