,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,131,got it,101,it got it,43
1,it,122,it got,43,got it got,40
2,i,96,i got,37,got it i,14
3,cool,25,it i,16,i got it,8
4,that,21,i have,14,got it cool,8
5,thats,20,i think,9,it i have,8
6,is,19,going to,9,i got that,6
7,you,19,it cool,8,got it yeah,5
8,to,17,you know,7,loch ness monster,5
9,have,16,cool cool,7,cool got it,5
10,like,15,got that,6,i think i,4
11,im,13,it yeah,6,it yeah i,4
12,going,12,i dont,6,got it dude,3
13,yeah,12,yeah i,5,i got dog,3
14,in,11,ness monster,5,it i think,3
15,know,11,upside down,5,cool i got,3
16,so,10,cool got,5,im going to,3
17,then,10,loch ness,5,yeah got it,3
18,think,10,think i,4,got that wrong,2
19,this,9,flying bird,4,bowl i got,2
