,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,147,got it,127,got it got,56
1,got,146,it got,57,it got it,53
2,i,74,i have,32,got it i,25
3,have,36,it i,25,it i have,16
4,with,27,i got,19,i got it,9
5,bird,23,flying bird,17,i think i,5
6,up,21,loch ness,14,right side up,5
7,on,21,i think,7,think i got,4
8,like,20,looks like,7,it i got,4
9,then,19,upside down,7,got it yeah,3
10,flying,19,hang on,6,shark with box,3
11,is,19,side up,5,with box on,3
12,down,18,one is,5,i dont know,3
13,one,15,i dont,5,duck flying bird,3
14,its,15,facing down,5,it got you,3
15,you,14,okay so,5,flying bird got,3
16,to,14,right side,5,tornado loch ness,3
17,okay,14,think i,5,bird got it,3
18,loch,14,on his,5,its heads facing,2
19,ness,14,dont know,4,sailboat got it,2
