,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,60,got it,57,got it got,26
1,got,57,it got,26,it got it,26
2,with,19,on its,8,on its side,5
3,on,18,upside down,6,i got it,4
4,then,16,its side,5,okay i got,3
5,down,13,triangle body,4,on its hind,3
6,its,12,i got,4,its hind legs,3
7,triangle,9,on right,4,sailboat got it,2
8,one,9,with two,3,seal got it,2
9,boat,8,its hind,3,it yeah i,2
10,i,8,fat whale,3,standing on its,2
11,bird,7,hind legs,3,out of it,2
12,side,7,out of,3,on either side,2
13,house,7,okay i,3,upside down boat,2
14,sailboat,6,straight down,2,triangle body running,2
15,body,6,standing on,2,got it speedboat,2
16,of,6,holding tray,2,hold on got,2
17,upside,6,seal got,2,on got it,2
18,square,6,then house,2,got it guy,2
19,is,6,last one,2,got it yeah,2
