,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,60,i have,55,then i have,12
1,have,56,then i,12,i have this,7
2,then,28,upside down,11,okay i have,6
3,with,27,bird with,10,an upside down,4
4,like,22,have this,7,on one foot,4
5,down,21,okay i,6,have bird with,4
6,bird,15,looks like,6,i have bird,4
7,on,12,flying bird,5,flying bird going,3
8,it,11,one foot,4,downward i have,3
9,this,11,on one,4,swimming downward i,3
10,upside,11,it looks,4,bird with long,3
11,triangle,11,with like,4,with long tail,3
12,left,9,going to,4,duck with two,3
13,an,9,to left,4,have this weird,3
14,okay,9,laying down,4,going to left,3
15,of,9,have bird,4,left i have,3
16,going,9,this weird,4,have flying bird,2
17,looks,8,with two,4,an arrow pointing,2
18,weird,8,an upside,4,arrow pointing to,2
19,boat,8,swimming downward,3,on left side,2
