,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,363,got it,349,it got it,219
1,got,353,it got,219,got it got,218
2,i,122,i have,60,i got it,41
3,have,63,i got,43,got it okay,41
4,okay,61,it okay,42,got it i,37
5,like,40,it i,38,okay got it,27
6,then,34,okay got,27,it okay got,22
7,with,34,okay i,18,it i have,19
8,guy,26,then i,15,it i got,14
9,one,18,it ok,11,it okay i,13
10,ok,17,looks like,9,then i have,11
11,sailboat,15,loch ness,8,got it ok,10
12,thats,13,have guy,7,okay i have,10
13,that,13,with two,7,loch ness monster,7
14,two,13,ness monster,7,i have guy,7
15,its,12,ok i,6,ok got it,6
16,going,12,two feet,6,got it yeah,5
17,weird,11,ok got,6,it ok got,5
18,body,11,on one,5,okay i got,5
19,flamingo,10,okay okay,5,with two feet,4
