,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,203,i have,83,okay i have,29
1,like,147,okay i,33,i got it,13
2,i,109,got it,31,one is like,9
3,have,87,upside down,31,got it okay,8
4,it,62,then like,22,then upside down,8
5,with,59,one is,19,i have person,8
6,okay,50,its like,16,hand corner then,7
7,its,45,then person,14,second one is,7
8,one,41,i got,14,with two triangles,7
9,down,40,on its,13,left hand corner,7
10,on,38,with two,13,it got it,7
11,is,37,is like,12,got it got,7
12,got,32,flying bird,11,ok i have,7
13,person,31,two triangles,11,on its side,6
14,upside,31,hand corner,11,on its hind,6
15,triangle,29,then boat,10,got it i,6
16,in,28,left hand,9,it okay i,6
17,my,28,ok i,9,i have like,6
18,boat,28,boat with,9,loch ness monster,5
19,thing,24,it okay,9,upside down flamingo,5
