,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,432,i have,233,then i have,34
1,have,244,i got,100,loch ness monster,23
2,then,224,got it,73,got it i,20
3,got,186,upside down,62,it i have,15
4,like,131,then i,50,okay i have,13
5,it,130,looks like,27,then i got,13
6,with,99,loch ness,26,an upside down,12
7,down,92,it i,24,i have an,11
8,to,77,ness monster,23,i got it,10
9,one,72,okay i,22,it got it,9
10,triangle,66,flying bird,20,got it got,9
11,upside,63,going to,17,have upside down,8
12,is,58,one is,16,i got this,8
13,that,58,to left,16,it looks like,8
14,guy,56,kind of,13,i have like,8
15,bird,50,bird with,13,i have dog,8
16,okay,47,ive got,12,i have upside,8
17,its,46,to right,12,going to left,7
18,this,45,an upside,12,i have guy,7
19,right,44,with triangle,12,upside down flamingo,7
