,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,106,i have,61,then i have,28
1,i,87,one is,45,first one is,21
2,one,63,then i,30,my first one,10
3,have,62,upside down,26,i dont know,9
4,is,59,first one,23,next one is,8
5,like,48,my first,12,my next one,8
6,with,45,my next,10,i have like,7
7,my,40,i dont,9,one is person,5
8,down,35,dont know,9,okay i have,5
9,first,27,next one,8,second one is,5
10,upside,26,second one,8,my top one,4
11,it,25,have like,7,i have person,4
12,on,24,i got,7,i have sailboat,4
13,triangle,24,looks like,7,my second one,4
14,person,24,okay i,7,out of it,4
15,its,16,of it,6,an upside down,4
16,boat,16,then like,6,last one is,4
17,or,15,person with,6,upside down dog,3
18,got,15,boat then,6,top one is,3
19,in,13,got it,6,then giant x,3
