,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,194,one is,83,first one is,33
1,one,127,first one,43,last one is,18
2,got,125,upside down,40,second one is,14
3,is,114,got it,38,my first one,14
4,with,102,ive got,28,third one is,12
5,first,69,i got,22,lady in dress,11
6,in,67,second one,22,then last one,10
7,it,67,i have,21,all right ive,10
8,like,64,last one,21,right ive got,10
9,down,59,kind of,19,got it i,9
10,on,55,third one,17,got it got,9
11,i,51,my first,17,upside down guy,7
12,right,48,with triangle,15,then i have,7
13,of,47,with two,15,then second one,7
14,triangle,44,all right,15,then upside down,7
15,upside,41,then last,14,it got it,7
16,last,35,lady in,13,is upside down,7
17,guy,35,dog with,13,got it first,6
18,second,35,on left,12,right side up,6
19,its,31,in dress,12,is kind of,6
