,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,344,got it,289,it got it,133
1,it,314,it got,134,got it got,132
2,i,242,i got,101,i got it,54
3,have,90,i have,83,got it i,35
4,done,53,it i,38,then i have,25
5,then,51,then i,31,done got it,21
6,okay,46,okay i,31,okay i got,19
7,that,37,done got,21,it i got,17
8,like,34,it okay,19,got it done,17
9,with,33,it done,17,got it okay,17
10,down,21,upside down,14,i got that,12
11,you,21,got that,13,it okay i,11
12,to,20,i think,11,it done got,9
13,dog,18,done i,9,okay i have,8
14,upside,14,that i,8,got it oh,7
15,right,14,it oh,7,think i got,7
16,sailboat,13,think i,7,i think i,7
17,an,13,it ok,7,i have person,7
18,oh,13,have person,7,got it ok,7
19,think,13,that got,6,done i got,6
