,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,204,got it,187,it got it,102
1,it,197,it got,103,got it got,101
2,i,89,i got,41,i got it,29
3,have,26,i have,25,got it i,15
4,okay,25,it i,15,got it done,10
5,then,19,okay i,13,okay i got,10
6,done,17,it okay,10,got it okay,10
7,dog,13,it done,10,then i have,9
8,that,10,then i,10,it i got,8
9,oh,9,okay got,8,okay got it,7
10,you,9,done got,6,it okay i,6
11,flying,8,flying bird,5,i have dog,5
12,ok,8,it ok,5,done got it,5
13,with,8,it oh,5,it done got,5
14,like,8,dog with,5,got it ok,5
15,sailboat,7,have dog,5,got it oh,4
16,going,6,ok got,4,have dog with,4
17,to,6,hit done,3,ok got it,4
18,boat,6,upside down,3,that got it,3
19,thats,5,i hit,3,ok i got,3
