,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,200,got it,83,it got it,25
1,got,172,i have,74,got it got,24
2,it,100,i got,72,got it i,13
3,have,88,upside down,28,then i have,12
4,then,71,it got,26,i got it,11
5,like,64,looks like,26,one looks like,8
6,one,48,then i,20,yeah i got,7
7,with,46,flying bird,16,that looks like,7
8,that,45,one is,15,loch ness monster,6
9,down,44,it i,13,then i got,6
10,you,38,ive got,11,it i got,6
11,is,33,yeah i,10,i dont know,5
12,bird,30,bird with,9,it ive got,5
13,upside,28,christmas tree,9,got it ive,5
14,looks,26,last one,9,second one is,5
15,in,25,okay i,9,okay i got,4
16,of,25,i dont,8,i got that,4
17,an,24,got that,8,i got an,4
18,dog,24,one looks,8,so i got,4
19,okay,23,so i,7,got it yeah,4
