,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,217,got it,176,it got it,97
1,it,186,it got,97,got it got,96
2,i,110,i got,54,i got it,24
3,that,28,i have,19,got it i,16
4,then,24,it i,18,got it okay,9
5,have,24,got that,11,yeah i got,7
6,you,17,okay i,9,got it ok,7
7,okay,15,yeah i,9,i got that,7
8,done,14,it okay,9,it okay i,6
9,right,11,it ok,8,okay i got,5
10,like,11,all right,7,i think i,5
11,yeah,10,i think,6,think i got,5
12,one,10,upside down,6,it i have,5
13,all,9,that got,5,that got it,5
14,down,9,done got,5,i hit done,4
15,with,9,then i,5,done got it,4
16,ok,9,think i,5,it yeah i,4
17,on,8,have that,4,got it yeah,4
18,boat,8,i hit,4,got it all,4
19,to,8,it all,4,got it you,3
