,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,352,i got,94,first one is,38
1,i,187,one is,92,my first one,29
2,got,174,upside down,70,loch ness monster,16
3,one,166,i have,59,so i got,16
4,with,144,first one,43,second one is,15
5,is,135,my first,37,then last one,15
6,down,101,all right,34,okay i have,14
7,like,85,ive got,33,right i got,13
8,triangle,79,got it,31,then upside down,13
9,first,73,so i,27,third one is,13
10,upside,70,last one,27,last one is,13
11,have,69,second one,22,all right i,12
12,my,68,third one,21,ok my first,11
13,on,68,with two,20,then i have,10
14,right,64,then last,18,so i have,10
15,it,64,kind of,17,my third one,9
16,sailboat,60,ness monster,16,upside down sailboat,9
17,dog,59,okay i,16,have upside down,9
18,bird,51,loch ness,16,upside down duck,9
19,guy,50,looking thing,15,okay so i,9
