,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,is,113,one is,48,first one is,31
1,i,88,i have,43,my first one,20
2,then,85,upside down,38,last one is,11
3,one,83,first one,37,then last one,8
4,down,55,last one,22,alright my first,7
5,have,53,third is,22,lady in dress,7
6,got,49,my first,20,is weird looking,6
7,with,48,i got,16,then third one,6
8,first,44,second is,16,i have guy,5
9,in,42,got it,13,loch ness monster,5
10,boat,40,looks like,10,last one was,5
11,upside,38,with two,9,is upside down,5
12,on,36,can you,9,can you repeat,5
13,third,35,christmas tree,9,i have sailboat,5
14,triangle,34,flying bird,8,duck flying bird,4
15,my,32,in dress,8,say that again,4
16,second,32,ive got,8,can you say,4
17,like,30,lady in,8,one is weird,4
18,last,28,sail boat,8,you repeat those,4
19,it,27,on left,8,with two feet,4
