,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,171,i have,102,you repeat those,15
1,have,108,flying bird,39,can you repeat,12
2,with,89,upside down,29,so i have,11
3,like,75,loch ness,28,repeat those please,10
4,got,58,i got,26,shark with box,9
5,down,55,looks like,23,duck flying bird,8
6,person,54,you repeat,19,with box on,8
7,it,54,can you,17,it i have,8
8,bird,51,got it,16,on its head,7
9,is,49,okay so,15,got it i,7
10,then,49,repeat those,15,i have person,7
11,flying,49,so i,15,could you repeat,6
12,on,47,with two,13,i have dog,6
13,its,45,one is,13,it looks like,6
14,you,45,on its,12,okay so i,6
15,to,42,hang on,11,right side up,6
16,so,42,person with,10,barn i have,5
17,dog,41,those please,10,loch ness monster,5
18,triangle,39,i dont,10,lady with handkerchief,5
19,head,38,with box,10,box on its,5
