,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,473,got it,219,got it got,92
1,got,427,i got,217,it got it,91
2,it,259,i have,170,got it i,55
3,have,188,it got,92,then i got,40
4,then,126,upside down,78,i got it,35
5,down,97,then i,69,it i got,29
6,upside,79,it i,58,then i have,22
7,with,76,got this,22,i got this,21
8,one,72,yeah i,22,think i got,17
9,triangle,63,looks like,22,it i have,16
10,like,51,one is,21,yeah i got,13
11,on,47,i think,20,loch ness monster,13
12,is,46,think i,19,i think i,13
13,that,43,holding triangle,17,i have upside,10
14,to,42,all right,14,have upside down,10
15,guy,40,loch ness,14,all right i,9
16,this,35,ness monster,13,i have guy,9
17,yeah,34,i dont,12,so i got,9
18,dog,32,alright i,11,got it alright,9
19,you,31,on one,11,standing on one,9
