,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,28,got it,26,got it got,15
1,got,27,it got,15,it got it,14
2,with,10,with two,3,on its side,3
3,on,5,on its,3,i got it,2
4,then,5,its side,3,got it bird,2
5,bird,4,gotcha got,2,got it gotcha,2
6,its,4,triangle body,2,it gotcha got,2
7,i,3,it bird,2,gotcha got it,2
8,triangle,3,it gotcha,2,taken out of,2
9,of,3,i got,2,out of it,2
10,two,3,taken out,2,guy holding tray,1
11,house,3,of it,2,holding tray at,1
12,side,3,out of,2,tray at eye,1
13,gotcha,2,with square,2,at eye level,1
14,guy,2,house with,2,weird shape with,1
15,down,2,then house,2,eye level then,1
16,um,2,tray at,1,level then blurry,1
17,out,2,dress got,1,down guy holding,1
18,taken,2,got you,1,blurry lady in,1
19,body,2,in dress,1,lady in dress,1
