,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,197,i have,152,then i have,33
1,have,158,then i,37,okay i have,20
2,then,84,okay i,22,ok i have,11
3,like,64,got it,19,i dont know,9
4,it,48,upside down,19,i have like,9
5,with,46,looks like,15,it got it,7
6,okay,40,flying bird,14,loch ness monster,7
7,down,37,ok i,12,i have an,7
8,triangle,30,i dont,10,i have dog,7
9,to,27,bird with,10,an upside down,6
10,sailboat,26,with two,10,going to left,6
11,got,26,have like,9,got it got,6
12,two,24,dont know,9,i got it,5
13,ok,23,i got,8,it i have,5
14,bird,22,to left,8,it looks like,5
15,on,22,have an,8,bird with big,4
16,going,22,i think,7,of looks like,4
17,is,21,rubber ducky,7,i have person,4
18,an,21,it got,7,it okay i,4
19,one,20,have dog,7,got it okay,4
