,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,662,i have,370,then i have,96
1,have,382,i got,139,okay i have,43
2,then,237,then i,117,i have this,31
3,got,225,got it,90,i dont know,29
4,like,176,upside down,79,i have like,25
5,it,166,okay i,69,okay i got,23
6,with,127,flying bird,47,loch ness monster,22
7,okay,119,i dont,35,an upside down,21
8,down,110,have this,32,i got it,20
9,one,84,looks like,31,i have an,18
10,is,81,dont know,29,got it i,18
11,upside,80,have like,27,i have sideways,16
12,triangle,74,it i,26,ok i have,14
13,this,70,loch ness,23,it got it,13
14,that,67,ness monster,22,got it okay,12
15,sailboat,65,one is,22,then i got,12
16,flying,65,with like,21,i have dog,12
17,on,62,i think,21,out of it,12
18,bird,61,an upside,21,going to left,11
19,two,57,with two,20,have an upside,11
