,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,231,got it,214,got it got,135
1,it,226,it got,135,it got it,135
2,then,92,one is,42,i got it,31
3,i,72,i got,41,got it i,22
4,like,57,upside down,26,first one is,17
5,one,55,it i,22,it i got,15
6,is,51,first one,20,got it okay,13
7,with,33,okay i,14,okay i got,10
8,down,33,i have,14,second one is,9
9,okay,28,it okay,13,got it first,9
10,upside,26,second one,12,it first one,8
11,my,26,third one,9,got it yep,8
12,first,25,it first,9,third one is,8
13,its,19,then upside,8,then upside down,8
14,top,18,is like,8,my first one,7
15,have,17,it yep,8,okay got it,7
16,of,17,my first,8,think i got,7
17,triangle,16,my top,7,i think i,6
18,second,16,i think,7,one is like,6
19,in,14,think i,7,it okay got,6
