,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,67,got it,56,got it got,36
1,it,56,it got,36,it got it,35
2,then,43,one is,14,first one is,12
3,is,19,i got,13,it first one,5
4,one,16,first one,12,got it first,5
5,i,15,upside down,7,all right i,4
6,first,13,sailboat then,5,right i got,4
7,with,10,it first,5,got it i,3
8,down,9,right i,4,is upside down,3
9,sailboat,9,all right,4,i got it,3
10,upside,7,it i,3,it i got,3
11,guy,7,is upside,3,loch ness monster,3
12,right,5,loch ness,3,got it okay,2
13,x,5,guy with,3,bird with its,2
14,weird,5,ness monster,3,then weird loch,2
15,my,4,x then,3,then upside down,2
16,dog,4,bird with,2,got it all,2
17,arrow,4,then upside,2,its wings spread,2
18,triangle,4,is weird,2,then crab then,2
19,all,4,weird looking,2,with its wings,2
