,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,83,got it,38,got it i,6
1,got,72,i have,34,going to left,6
2,it,54,i got,23,got it got,6
3,then,52,upside down,20,loch ness monster,5
4,have,37,flying bird,19,it got it,4
5,guy,33,to left,9,big flying bird,4
6,down,30,rocket ship,8,it i have,4
7,with,28,going to,8,got it okay,4
8,one,26,it got,7,right side up,3
9,dog,25,it i,6,i have ram,3
10,like,25,okay i,6,um i have,3
11,triangle,25,lets see,5,dog going to,3
12,sailboat,25,sailboat i,5,on one foot,3
13,to,23,dog going,5,kind of pointing,3
14,bird,23,triangle body,5,thats kind of,3
15,flamingo,21,so i,5,guy thats kind,3
16,flying,21,pointing up,5,arrowhead guy thats,3
17,boat,20,ness monster,5,triangle with cut,3
18,upside,20,loch ness,5,upside down flying,3
19,going,19,sea monster,5,sailboat i got,3
