,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,55,i have,45,an upside down,8
1,have,46,got it,16,it i have,7
2,with,21,upside down,11,got it i,6
3,it,21,it i,8,i have an,5
4,got,18,an upside,8,it got it,5
5,down,15,it got,5,got it got,5
6,an,14,have an,5,can you repeat,4
7,sailboat,12,flying bird,5,flamingo i have,3
8,then,12,handkerchief lady,5,have an upside,3
9,dog,11,on its,4,upside down flamingo,3
10,um,11,can you,4,you repeat those,3
11,upside,11,you repeat,4,flying bird i,3
12,triangle,10,with two,4,i have person,3
13,guy,9,out of,4,i have dog,3
14,its,9,its head,4,on its head,3
15,person,9,dog with,4,bird i have,3
16,lady,8,with box,3,coming out of,3
17,on,8,repeat those,3,server i have,2
18,two,8,i got,3,down server i,2
19,out,7,shark with,3,have flying bird,2
