,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,218,got it,77,first one is,20
1,got,141,i got,62,loch ness monster,20
2,i,88,one is,43,got it got,19
3,it,87,all right,28,all right i,19
4,one,65,upside down,24,it got it,18
5,is,61,first one,23,my first one,18
6,with,46,loch ness,20,right i got,17
7,my,44,right i,20,got it i,17
8,right,40,ness monster,20,got it all,16
9,down,30,it got,19,it all right,16
10,dog,29,my first,19,it i got,13
11,first,28,it i,17,then upside down,12
12,all,28,it all,16,second one is,8
13,upside,24,i have,14,ness monster then,8
14,weird,23,then upside,12,weird loch ness,7
15,second,22,second one,12,my fourth one,7
16,ness,20,then weird,12,third one is,7
17,monster,20,then dog,11,alright my first,7
18,its,20,looking thing,11,all right my,7
19,loch,20,thing then,10,right my first,7
