,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,413,got it,225,it got it,87
1,got,328,i have,202,got it got,87
2,it,263,i got,132,then i have,65
3,have,214,it got,88,i got it,42
4,then,133,then i,76,got it i,27
5,like,99,okay i,48,okay i got,25
6,with,82,upside down,43,got it okay,21
7,okay,71,it i,31,okay i have,19
8,down,68,flying bird,26,it okay i,14
9,triangle,59,it okay,23,it i got,13
10,one,52,triangle chest,18,loch ness monster,12
11,that,51,on one,16,an upside down,11
12,person,46,bending backwards,15,i have like,11
13,on,43,one is,15,on one foot,10
14,upside,43,i think,14,got it done,10
15,is,42,have like,13,i have person,9
16,done,40,i dont,13,i got that,9
17,going,40,loch ness,12,got it oh,9
18,flying,35,ness monster,12,i dont know,9
19,to,34,looks like,11,i have this,9
