,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,187,got it,178,got it got,106
1,got,182,one is,119,it got it,105
2,is,180,it got,106,first one is,72
3,one,131,first one,76,my first one,37
4,then,122,upside down,41,got it first,26
5,my,101,my first,39,it first one,24
6,first,81,last one,27,last one is,23
7,with,72,it first,26,got it my,22
8,down,56,third is,25,it my first,21
9,upside,41,it my,22,my next one,17
10,last,34,second is,21,my last one,17
11,third,30,my last,19,next one is,17
12,second,30,my next,18,is upside down,16
13,i,26,next one,17,then i have,13
14,on,26,is upside,16,then my last,11
15,in,22,then my,14,is weird looking,9
16,sailboat,22,then i,14,my third is,9
17,looking,20,i have,14,one is upside,9
18,next,18,my third,11,one is weird,8
19,giant,17,my second,10,got it okay,6
