,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,121,i have,97,it got it,48
1,i,117,got it,96,got it got,47
2,got,102,it got,48,then i have,26
3,have,100,then i,28,got it i,25
4,then,90,it i,26,it i have,23
5,like,56,upside down,14,okay i have,11
6,with,41,looks like,12,i have sailboat,10
7,down,26,okay i,11,got it okay,7
8,an,26,with like,11,it looks like,6
9,sailboat,25,have sailboat,10,an upside down,6
10,okay,18,flying bird,8,speedboat going down,5
11,sideways,17,speedboat going,8,i have an,4
12,on,16,it looks,8,i have like,4
13,of,16,it okay,7,i have sideways,4
14,boat,15,sailboat with,6,okay got it,4
15,weird,15,bird with,6,it okay i,4
16,going,15,with an,6,sailboat i have,4
17,one,14,an upside,6,upside down boat,4
18,right,14,going down,6,half christmas tree,4
19,dog,14,an arrow,6,big flying bird,3
