,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,38,got it,24,yup yup yup,11
1,got,33,i have,14,i got it,6
2,it,29,i got,14,i have all,5
3,have,14,yup yup,12,all right i,5
4,yeah,14,right i,6,got it i,5
5,yup,13,have all,5,kiss from rose,3
6,then,13,all right,5,got it yeah,3
7,all,12,it i,5,then i have,3
8,right,9,yeah yeah,4,im going to,3
9,those,9,upside down,4,got it alright,3
10,of,7,then i,4,have all those,3
11,thats,7,going to,4,have all of,2
12,you,7,it yeah,4,all of those,2
13,like,7,all those,4,those got it,2
14,to,7,all of,3,it alright i,2
15,cool,7,from rose,3,i think i,2
16,its,7,kiss from,3,right i got,2
17,im,6,im going,3,then upside down,2
18,that,6,it alright,3,got it okay,2
19,alright,5,yeah i,3,i have those,2
