,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,209,i have,95,okay i have,51
1,i,108,okay i,53,ok i have,26
2,have,105,got it,50,got it okay,17
3,with,96,upside down,29,it okay i,15
4,it,68,ok i,27,ok my first,13
5,okay,68,my first,23,then upside down,13
6,down,51,one is,19,got it ok,12
7,got,51,it okay,18,first one is,10
8,ok,50,with square,16,my first one,10
9,like,48,arrow pointing,15,house on it,8
10,first,34,with two,14,with house on,8
11,guy,34,first one,13,i have arrow,8
12,one,33,down then,13,my first ones,8
13,is,31,ok my,13,it i have,7
14,dog,31,then upside,13,i have guy,7
15,arrow,30,it ok,12,got it i,7
16,sailboat,30,boat with,12,i have boat,7
17,upside,29,dog with,12,boat with house,7
18,square,28,then other,11,dog with square,7
19,bird,27,guy with,11,then dog with,6
