,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,366,i have,240,then i have,49
1,have,252,i got,76,an upside down,16
2,then,186,upside down,60,i have dog,15
3,got,112,then i,58,loch ness monster,14
4,down,108,flying bird,35,i have an,13
5,like,96,looks like,28,i dont know,12
6,with,93,loch ness,22,all right i,10
7,triangle,72,to right,18,have an upside,9
8,guy,61,going to,18,have dog with,8
9,upside,60,all right,16,okay i have,8
10,is,56,an upside,16,going to right,8
11,it,55,i dont,16,right i have,8
12,one,54,right i,15,i have like,8
13,right,54,have dog,15,flying bird going,7
14,dog,53,got it,15,i have house,7
15,flying,48,one is,14,going to left,7
16,bird,47,ness monster,14,right i got,7
17,to,47,okay i,14,i have guy,7
18,on,46,have an,13,big flying bird,7
19,going,46,dont know,13,i have this,6
