,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,150,got it,120,got it got,63
1,it,125,it got,64,it got it,59
2,i,50,i got,37,i got it,14
3,yeah,15,it i,12,got it i,12
4,okay,13,it okay,9,it i got,9
5,you,12,it yep,6,got it okay,9
6,that,11,yeah i,6,got it yep,6
7,no,9,yep got,6,yeah i got,5
8,yep,8,i have,5,ok got it,5
9,like,8,cake cake,5,it yep got,5
10,one,8,ok got,5,okay got it,5
11,ok,7,no no,5,it okay got,5
12,then,7,okay got,5,got it yeah,5
13,cake,6,it yeah,5,yep got it,5
14,to,6,got you,4,it got you,4
15,have,6,it ok,4,no no no,4
16,done,5,okay i,4,got it ok,4
17,all,5,it you,2,cake cake cake,4
18,dog,4,rabbit running,2,it ok got,3
19,sailboat,4,yeah got,2,got it no,2
