,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,219,one is,87,first one is,38
1,one,134,first one,48,last one is,17
2,is,122,upside down,42,my first one,14
3,with,101,ive got,29,second one is,14
4,got,91,second one,23,then last one,12
5,first,73,last one,21,third one is,11
6,on,65,i got,21,right ive got,11
7,like,63,kind of,19,all right ive,11
8,down,62,my first,18,lady in dress,11
9,right,55,i have,18,then upside down,10
10,in,54,all right,17,upside down guy,8
11,i,49,then last,16,then second one,8
12,triangle,48,third one,16,is upside down,8
13,of,44,with two,15,one is weird,7
14,upside,43,with triangle,15,right side up,7
15,guy,39,on right,14,on right then,7
16,it,38,on left,13,is kind of,6
17,second,36,lady in,12,one is upside,6
18,last,34,in dress,11,then i have,6
19,sailboat,32,guy with,11,on left then,5
